ID	url	date	citation	application	training	architecture	parent	link_info	name	params(M)	cifar10	cifar100	SVHN	imageNet val top1	imagenet val top5	model path
									denseNet_100_24	27.2	3.74	19.25	1.59	na	na	x
									denseNet-BC(l=100, k=12)	0.8	4.51	22.27	1.76	na	na	
									denseNet-BC(l=250, k=24)	15.3	3.62	17.6	1.74	na	na	
									denseNet-BC(l=190, k=40)	25.6	3.46	17.18	na	na	na	
									denseNet_121	8.1	na	na	na	25.02	7.71	x
									denseNet_201	20.2	na	na	na	22.58	6.34	x
squeezeNet	https://arxiv.org/abs/1602.07360	2016.02.24	264	1.1.1.general recognition	3.4.1.dropout;3.2.1.SGD with momentum;3.4.2.weight decay	2.2.1.3.multi-branch;2.2.2.2.1.1.standard relu;2.2.1.2.residual	alexNet	same performance with 50x less parameters	squeezeNet	1.24	na	na	na	39.6	17.5	x
							inception	exploiting the split-transform-merge strategy in an easy, extensible way			na	na	na	na	na	
diracNet	https://arxiv.org/abs/1706.00388	2017.06.07		1.1.1.general recognition	3.1.11.dirac;3.4.4.batch normalization;3.2.1.SGD with momentum;3.4.2.weight decay;3.4.1.dropout	2.2.1.1.plain;2.2.2.2.1.4.CRelu	resNet_v1	train a deep network without residual connections	diracNet-28-5	9.1	3.16	23.44	na	na	na	
									diracNet-28-10	36.5	4.75	21.54	na	na	na	
									diracNet-18	11.7	na	na	na	30.37	10.88	
									diracNet-34	21.8	na	na	na	27.79	9.34	
nasNet	https://arxiv.org/abs/1707.07012	2017.12.01	17	1.1.1.general recognition	neural architecture search by reinforcement learning	2.2.1.2.residual;2.2.1.3.multi-branch			nasNet_cifar	3.3	2.65	na	na	na	na	x
									nasNet_small	88.9	na	na	na	17.3	3.8	x
									nasNet_large	5.3	na	na	na	26	8.4	x
Elu	https://arxiv.org/abs/1511.07289	2015.11.23	493	1.1.1.general recognition	3.4.4.batch normalization;3.2.1.SGD with momentum;3.4.2.weight decay;2.2.2.3.4.SPP;3.4.1.dropout		PRule-nets	a noise-robust deactivation state	exponential linear unit		6.55	24.28	na	na	na	
											na	na	na	na	na	
ID	url	date	citation	application	training	architecture	parent	link_info	name	params(M)	cifar10	cifar100	SVHN	imageNet val top1	imagenet val top5	model path
fcn	https://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Long_Fully_Convolutional_Networks_2015_CVPR_paper.pdf	2015.06.01	3141	1.1.2.segmentation					fcn		67.2	na	na	na	na	
mask r-cnn	https://arxiv.org/abs/1703.06870	2017.04.05	88	1.1.2.segmentation					mask r-cnn		na	na	na	na	na	
deepLab_v1	https://arxiv.org/abs/1412.7062	2014.12.22	1183	1.1.2.segmentation					deepLab_v1		71.6	na	na	na	na	
deepLab_v2	https://arxiv.org/abs/1606.00915	2016.06.02	1183	1.1.2.segmentation					deepLab_v2		79.7	na	na	na	na	
uNet	https://arxiv.org/abs/1505.04597	2015.05.18	994	1.1.2.segmentation					uNet		na	na	na	na	na	
segNet	https://arxiv.org/abs/1511.00561	2015.11.02	464	1.1.2.segmentation					segNet		59.9	na	na	na	na	
dilated conv	https://arxiv.org/abs/1511.07122	2015.11.23	508	1.1.2.segmentation					dilated conv		75.3	na	na	na	na	
refineNet	https://arxiv.org/abs/1611.06612	2016.11.20	60	1.1.2.segmentation					refineNet		84.2	na	na	na	na	
PSPNet	https://arxiv.org/abs/1612.01105	2016.12.04	129	1.1.2.segmentation					PSPNet		85.4	na	na	na	na	
GCN	https://arxiv.org/abs/1703.02719	2017.03.08	15	1.1.2.segmentation					GCN		83.6	na	na	na	na	
deepLab_v3	https://arxiv.org/abs/1706.05587	2017.06.17	17	1.1.2.segmentation					deepLab_v3		85.7	na	na	na	na	
											na	na	na	na	na	
											na	na	na	na	na	
ID	url	date	citation	application	training	architecture	parent	link_info	name	params(M)	voc2007 mAP (train on 07 + 12 )	voc2012 mAP	COCO mAP@0.5 (test-dev)	COCO mAP@[0.5:0.95]	voc2007 fps	model path
r-cnn	http://arxiv.org/abs/1311.2524	2013.11.11	4309	1.1.3.detection					r-cnn		66	53.3	na	na	na	
SPP_net	http://arxiv.org/abs/1406.4729	2014.06.18	889	1.1.3.detection					SPP_net		59.2	na	na	na	na	
fast r-cnn	http://arxiv.org/abs/1504.08083	2015.04.30	1823	1.1.3.detection					fast r-cnn		71.8	68.4	na	na	0.5	
faster r-cnn(rpn, 300)	http://arxiv.org/abs/1506.01497	2015.06.04	2395	1.1.3.detection					faster r-cnn(rpn, 300)		73.2	70.4	42.7	21.9	7	
SSD	https://arxiv.org/abs/1512.02325	2015.12.08	654	1.1.3.detection					SSD		77.2	74.9	46.5	26.8	59	
YOLO	http://arxiv.org/abs/1506.02640	2015.06.08	881	1.1.3.detection					YOLO		66.4	57.9	na	na	155	
									YOLO+fast-rcnn		na	70.7	na	na	na	
R-FCN	https://arxiv.org/abs/1605.06409	2016.05.20	264	1.1.3.detection					R-FCN		80.5	77.6	53.2	31.5	na	
											na	na	na	na	na	
ID	url	date	citation	application	training	architecture	parent	link_info	name	params(M)	BLEU WMT2014 English2German	BLEU WMT14 English2French	BELU WMT16 English2Romanian			model path
Seq2Seq	https://arxiv.org/abs/1409.3215	2014.09.10	2829	1.2.1.translation		2.3.2.1.2.stacked LSTM			Seq2Seq		na	34.81	na	na	na	
GNMT	https://arxiv.org/abs/1609.08144	2016.09.26	369	1.2.1.translation		2.3.2.1.2.stacked LSTM;2.3.5.attention;2.2.1.2.residual			GNMT		24.17	38.39	na	na	na	
conv seq2seq	https://arxiv.org/abs/1705.03122	2017.05.08	73	1.2.1.translation		2.2.2.1.conv;2.3.5.attention			conv seq2seq		25.13	40.51	30.02	na	na	
RNNsearch	https://arxiv.org/abs/1409.0473	2014.09.01	2362	1.2.1.translation		2.3.5.1.soft attention;stacked;bidirectional;2.3.2.2.GRU			RNNsearch		na	33.3	na	na	na	
RNNencdec	https://arxiv.org/abs/1406.1078	2014.06.03	1942	1.2.1.translation		2.3.2.2.GRU			RNNencdec		na	26.71	na	na	na	
											na	na	na	na	na	
ID	url	date	citation	application	training	architecture	parent	link_info	name	params(M)	KTH1	UCF101(RGB based, video)	HMDB51	Sports-1M	MPII	model path
LTC-CNN	https://arxiv.org/abs/1604.04494v1	2016.04.15	69	1.1.5.action recognition in video		2.2.1.1.plain;3D conv			LTC-CNN		na	81.5	67.2	na	na	
3D conv+LSTM	https://link.springer.com/chapter/10.1007/978-3-642-25446-8_4	2011.01.01	251	1.1.5.action recognition in video		2.2.1.1.plain;3D conv;2.3.2.1.LSTM			3D conv+LSTM		94.39	na	na	na	na	
deepVideo	http://ieeexplore.ieee.org/document/6909619/	2014.06.23	1669	1.1.5.action recognition in video		2.2.2.1.conv;fusion strategy			deepVideo		na	na	na	63.9	na	
AttnP+R101	https://arxiv.org/abs/1711.01467	2017.11.14	3	1.1.5.action recognition in video		attentional pooling;resnet101			AttnP+R101		na	na	50.8	na	30.3	
AttnP+I_V2	https://arxiv.org/abs/1711.01468	2017.11.14	3	1.1.5.action recognition in video		attentional pooling;inception_BN			AttnP+I_V2		na	na	na	na	26.2	
two-stream	https://arxiv.org/abs/1406.2199	2014.06.29	1185	1.1.5.action recognition in video		2.2.1.1.plain;two-stream			two-stream		na	87	55.4	na	na	
3D conv	ieeexplore.ieee.org/document/6165309/	2013.03.06	1252	1.1.5.action recognition in video		3D conv			3D conv		na	na	na	na	na	
LRCN	https://arxiv.org/abs/1411.4389	2014.11.17	1278	1.1.5.action recognition in video;CV=>caption		2d conv;2.3.2.1.LSTM			LRCN		na	82.66	na	na	na	
ST-ResNet	https://arxiv.org/abs/1611.02155	2016.11.07	67	1.1.5.action recognition in video		resnet;two-stream			ST-ResNet		na	93.46	66.41	na	na	
